enquiry_id,make,generic_model,derivative,vehicle_colour,engine_size,fuel,transmission,age_at_enquiry_dec,mileage,reserve_price,has_damage,is_vehicle_on_finance,service_count,number_of_doors,number_of_seats,vehicle_class,body_category,body,previous_keepers,equipment,additional_spec,service_history
3522910,Peugeot,3008,GT LINE S S,Red,1200.0,Petrol,Manual,4.58,48527,13449,1,True,2,5.0,5.0,Car,Other,Other,1,"sat_nav, parking_cam",None,partial
3363747,Toyota,YARIS,EDITION VVT I,White,998.0,Petrol,Manual,9.58,71000,3857,1,True,7,5.0,5.0,Car,Hatchback,Hatchback,2,,None,partial
6583338,SEAT,ATECA,FR SPORT TSI EVO,Black,1498.0,Petrol,Manual,3.58,20967,18553,1,True,0,5.0,5.0,Car,Other,Other,1,"sat_nav, heated_seats, parking_cam",None,partial
6585437,BMW,1 SERIES,118D SE,Silver,1995.0,Diesel,Manual,10.92,75000,4509,1,True,0,5.0,5.0,Car,Hatchback,Hatchback,2,,None,full
6625875,Mercedes,A CLASS,A 180 D SE EXECUTIVE AUTO,Black,1461.0,Diesel,Automatic,6.67,47602,11362,1,True,0,5.0,5.0,Car,Hatchback,Hatchback,4,"sat_nav, heated_seats, parking_cam",None,no
6719154,Toyota,AYGO,VVT I,Grey,998.0,Petrol,Manual,15.75,35500,1863,1,False,0,5.0,5.0,Car,Hatchback,Hatchback,2,,None,partial
6732385,Skoda,FABIA,SE TSI,Silver,1197.0,Petrol,Manual,6.58,74150,5578,1,False,5,5.0,5.0,Car,Hatchback,Hatchback,2,,Apple car play. ,full
6668945,Toyota,YARIS,ICON TECH VVT I HEV CVT,Blue,1497.0,Hybrid,CVT,5.0,37000,11107,1,False,4,5.0,5.0,Car,Hatchback,Hatchback,0,"sat_nav, parking_cam",None,full
6010715,Nissan,NAVARA,TEKNA DCI AUTO,Black,2488.0,Diesel,Automatic,8.0,99800,7751,1,False,4,5.0,5.0,LCV,Commercial vehicle,Pick-up,2,"sat_nav, heated_seats, parking_cam",None,partial
6337259,SEAT,LEON,FR TECHNOLOGY TDI,Black,1968.0,Diesel,Manual,8.0,63000,7963,1,False,6,3.0,5.0,Car,Hatchback,Hatchback,3,sat_nav,None,partial
6682485,Vauxhall,CORSA,E SE NAV PREMIUM,Grey,0.0,Electric,Automatic,2.25,16060,11416,1,False,2,5.0,5.0,Car,Hatchback,Hatchback,1,"sat_nav, parking_cam",Seller confirmed it an automatic,full
6005364,Vauxhall,CORSA,ACTIVE AC,Green,1398.0,Petrol,Manual,10.58,46000,3038,1,False,0,5.0,5.0,Car,Hatchback,Hatchback,1,parking_cam,HPI & Vcheck clear,partial
